FECHA_CORTE,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,FECHA_REGISTRO,PRODUCTO,PRECIO_MAYORISTA,PRECIO_MINORISTA,CATEGORIA,UNIDAD_MEDIDA_MAY,UNIDAD_MEDIDA_MIN
20260406,PIURA,PIURA,PIURA,200101,20260311,Ajo criollo o napuri,7.7,13,Hortalizas,MALLA MEDIANA,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Manzana delicia,2.25,4.45,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Azucar rubia nacional (granel),3.29,4.35,Agro-industriales,SACO NORMAL,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Mango edward,3.77,5,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Azucar blanca nacional (granel),3.3,4.55,Agro-industriales,SACO NORMAL,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Tomate,2.43,3.65,Hortalizas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Arroz superior,3.03,3.5,Cereales,SACO NORMAL,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Sandia,1.55,2.35,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Arroz extra,3.04,4.45,Cereales,SACO NORMAL,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Zapallo macre,1.85,3.35,Hortalizas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Yuca blanca,1.95,4.65,Tuberculos,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Zanahoria,2.1,3.55,Hortalizas,SACO MEDIANO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Uva italia,3.58,7.6,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Leche reconstituida (azul) 395 gr,3.65,4.45,Agro-industriales,CAJA,LATA
20260406,PIURA,PIURA,PIURA,200101,20260311,Platano seda congo,1.71,3.9,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Frijol canario,5.59,8.05,Menestras,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Carne fresca de vacuno,21.5,27.5,Carnes y huevos,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Carne de pollo (eviscerado),10.75,13.75,Carnes y huevos,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Aji rocoto,5.35,6.25,Hortalizas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Fideos nicolini tallarin,4.65,6.8,Agro-industriales,PAQUETE,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Aji escabeche,2.46,3.75,Hortalizas,KILOGRAMO,MALLA
20260406,PIURA,PIURA,PIURA,200101,20260311,Limon sutil bolsa,1.69,2.4,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Choclo (tipo cusco),5.44,9.95,Cereales,CIENTO,UNIDAD
20260406,PIURA,PIURA,PIURA,200101,20260311,Aceite clasico botella 900 ml,9.04,10.6,Agro-industriales,CAJA CHICA,LITRO
20260406,PIURA,PIURA,PIURA,200101,20260311,Lenteja,5.1,8.4,Menestras,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Platano bellaco,2.46,3.7,Frutas,LITRO,LITRO
20260406,PIURA,PIURA,PIURA,200101,20260311,Huevos rosados,6.21,10.85,Carnes y huevos,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Leche fresca,3.9,5.15,Agro-industriales,LITRO,LITRO
20260406,PIURA,PIURA,PIURA,200101,20260311,Haba verde serrana,2.72,7.2,Legumbres,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Garbanzo,5.02,10,Menestras,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Pina criolla,1.85,2.55,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Frijol castilla,3.97,7.2,Menestras,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Papaya,2.2,2.75,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Palta fuerte,4.85,8.25,Frutas,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Pallar,5.65,8.2,Menestras,KILOGRAMO,KILOGRAMO
20260406,PIURA,PIURA,PIURA,200101,20260311,Olluco largo,3.1,4.5,Tuberculos,KILOGRAMO,KILOGRAMO
